net,length_um
fifo2.mem\[2\]\[2\],26.86
regis.header_byte\[7\],26.835
syn.count0\[5\],26.76
_1371_,26.68
fifo1.count\[5\],26.66
fifo3.mem\[2\]\[1\],26.645
_1706_,26.6
_0386_,26.545
fifo3.mem\[0\]\[0\],26.4
regis.packet_parity\[3\],26.4
_1325_,26.34
_2032_,26.28
_1341_,26.2
_1909_,26.2
data_in[3],26.19
_1184_,26.14
_1953_,26.14
fifo2.mem\[6\]\[2\],26.1
_1860_,25.98
_2009_,25.81
_1413_,25.76
_1748_,25.74
regis.header_byte\[3\],25.735
_1727_,25.62
_1537_,25.44
fsm1.rst_int_reg,25.2
fifo2.mem\[0\]\[1\],25.11
_1974_,25.08
fsm1.parity_done,24.935
regis.header_byte\[4\],24.915
_0829_,24.9
_0864_,24.85
syn.count1\[2\],24.845
_1851_,24.68
fifo2.mem\[1\]\[3\],24.68
fifo3.count\[6\],24.68
fifo3.mem\[10\]\[0\],24.665
_1632_,24.64
net31,24.58
_1545_,24.54
fifo3.mem\[12\]\[8\],24.46
fifo1.rd_pointer\[2\],24.44
_1958_,24.36
fifo2.count\[4\],24.28
regis.header_byte\[6\],24.275
_1316_,24.22
_1194_,24.14
_0826_,24.12
_1665_,24.12
fifo1.mem\[12\]\[7\],24.08
fifo3.mem\[9\]\[8\],24.08
_2046_,24.075
_2074_,24.04
_1975_,24
_1150_,23.975
fifo2.mem\[7\]\[6\],23.94
_1712_,23.86
net47,23.77
fifo3.mem\[12\]\[1\],23.74
_0717_,23.66
_1560_,23.65
fifo3.mem\[12\]\[0\],23.62
_1587_,23.58
net193,23.52
_1586_,23.5
fifo3.mem\[8\]\[2\],23.5
_0866_,23.49
fifo1.mem\[12\]\[1\],23.46
fifo2.mem\[1\]\[5\],23.46
fifo1.mem\[9\]\[4\],23.44
fifo3.mem\[9\]\[4\],23.42
_0645_,23.34
net45,23.34
_1399_,23.3
fifo1.mem\[9\]\[8\],23.1
_2069_,23.04
_1619_,22.91
fifo1.mem\[9\]\[7\],22.9
_0626_,22.86
syn.count1\[4\],22.8
regis.internal_parity\[2\],22.76
fifo2.mem\[0\]\[0\],22.7
fifo3.wr_pointer\[4\],22.7
_0495_,22.645
_1831_,22.54
fifo2.count\[1\],22.535
_1866_,22.5
fifo2.mem\[10\]\[7\],22.5
_1882_,22.46
fifo1.mem\[5\]\[7\],22.32
_1270_,22.3
fifo2.mem\[12\]\[6\],22.16
fifo3.mem\[8\]\[8\],22.14
_1123_,22.135
fifo2.mem\[8\]\[6\],22.08
_1690_,22.06
syn.count1\[1\],22.04
fifo2.mem\[7\]\[3\],22.02
_1738_,21.96
regis.internal_parity\[0\],21.9
_1048_,21.88
_1089_,21.86
_1274_,21.815
_1417_,21.8
fifo2.mem\[9\]\[4\],21.76
fifo3.mem\[1\]\[7\],21.74
fifo1.mem\[15\]\[6\],21.68
_1390_,21.66
_0335_,21.625
fifo3.rd_pointer\[4\],21.62
fifo1.mem\[15\]\[8\],21.58
fifo1.mem\[4\]\[7\],21.56
_0884_,21.46
_1280_,21.42
_1360_,21.34
syn.count2\[4\],21.22
_1094_,21.215
fifo2.mem\[14\]\[0\],21.2
fifo2.mem\[7\]\[7\],21.18
fifo2.mem\[11\]\[6\],21.12
fifo2.mem\[2\]\[3\],21.1
fifo2.mem\[9\]\[3\],21.1
fifo1.mem\[13\]\[8\],21.08
_1657_,21.06
fifo3.mem\[11\]\[5\],21.04
_2073_,21.02
fifo3.mem\[0\]\[4\],21.02
regis.packet_parity\[4\],20.995
regis.internal_parity\[7\],20.96
fifo2.mem\[6\]\[1\],20.945
_0665_,20.92
_1158_,20.92
fifo1.mem\[1\]\[2\],20.92
fifo2.mem\[7\]\[1\],20.88
regis.internal_parity\[1\],20.88
fifo3.mem\[13\]\[7\],20.74
_1375_,20.72
net264,20.66
_1211_,20.64
fifo2.mem\[9\]\[0\],20.64
_1060_,20.58
fifo1.count\[2\],20.58
_0640_,20.54
fifo2.mem\[7\]\[8\],20.42
_0009_,20.4
fifo2.mem\[7\]\[0\],20.38
regis.packet_parity\[6\],20.34
_1855_,20.32
_1699_,20.31
_1234_,20.12
_1962_,19.94
